status,source,target,sha256,bytes,row,source_relative_path,target_relative_path,mode,r5_bucket
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN\MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\00_ADMIN\MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,a45f7f9d0dc83c0d411b9a4ac3dec6f78be9883bfbeba29529be9e59b6e3feb2,647,2,00_ADMIN/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,FINAL/fusion_inbox_R6/00_ADMIN/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_00_ADMIN_INSTRUCTIONS_METADATA
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN\README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\00_ADMIN\README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,335fa571e17b5727adca0f92384c796d80ac53db3e1182458fedffd912eb1bb8,935,3,00_ADMIN/README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,FINAL/fusion_inbox_R6/00_ADMIN/README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_00_ADMIN_INSTRUCTIONS_METADATA
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN\CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\00_ADMIN\CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,a96ba42a55c6ac36f405457051fd60c310cde61eb17cad8f8ae5e2d14aa1ad12,678,4,00_ADMIN/CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_00_ADMIN_INSTRUCTIONS_METADATA
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN\CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\00_ADMIN\CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,ed706110e1011307523d5730ce0da32a2d82aed2c3ec9b4fec2becbeca3adb9f,305,5,00_ADMIN/CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_00_ADMIN_INSTRUCTIONS_METADATA
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN\BUTTON_FUNCTION_MAPPING_FINAL.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\00_ADMIN\BUTTON_FUNCTION_MAPPING_FINAL.md,203180852e28dc361b7b34ebe4c745d17a067d7f2b7f1ec043956b114cb5ef5f,949,6,00_ADMIN/BUTTON_FUNCTION_MAPPING_FINAL.md,FINAL/fusion_inbox_R6/00_ADMIN/BUTTON_FUNCTION_MAPPING_FINAL.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_00_ADMIN_INSTRUCTIONS_METADATA
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\lexique_crypto_methodes_signaux_trading_pro.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R6_SELECTED_FINAL_DOCS\01_DOCS_ROOT\lexique_crypto_methodes_signaux_trading_pro.md,48811524bf129bff4bd941f8cd4bf48eac93887fdc39afac6225c26396460c65,25775,7,01_DOCS/lexique_crypto_methodes_signaux_trading_pro.md,drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/lexique_crypto_methodes_signaux_trading_pro.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_MISC_FINAL_DOCS_CANDIDATE
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\NOTE_MVPQAIC_24_NOT_LIVE_FUSED_INTO_11.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R6_SELECTED_FINAL_DOCS\01_DOCS_ROOT\NOTE_MVPQAIC_24_NOT_LIVE_FUSED_INTO_11.md,1f14f07e8950a8ebf98480db44b837d0a2b7d5467a3e62816bb2896c78cf3c4f,246,8,01_DOCS/NOTE_MVPQAIC_24_NOT_LIVE_FUSED_INTO_11.md,drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/NOTE_MVPQAIC_24_NOT_LIVE_FUSED_INTO_11.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_MISC_FINAL_DOCS_CANDIDATE
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.5.0.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R6_SELECTED_FINAL_DOCS\01_DOCS_ROOT\VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.5.0.md,6e9992b29ad4249e5d8a0025f7b032c48f7ead13252bf80f56f8ca0905618447,3868,9,01_DOCS/VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.5.0.md,drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.5.0.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_MISC_FINAL_DOCS_CANDIDATE
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\CDC\MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\CDC\MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,6cc66445834a71163396238784e44f4f8a015ebf2c77e7c3c6f393c42e55e6a8,5564,10,01_DOCS/CDC/MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,FINAL/fusion_inbox_R6/CDC/MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_01_DOCS_CDC_CANDIDATE
COPIED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\CDC\MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\fusion_inbox_R6\CDC\MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,c0c350b16cdf790491c2ba3c812fa29e9ba42261aab2178f99bd3c9ecfeefcc4,9525,11,01_DOCS/CDC/MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,FINAL/fusion_inbox_R6/CDC/MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,COPY_LOCAL_FILE_TO_FUSION_INBOX_AFTER_VALIDATION,SELECT_01_DOCS_CDC_CANDIDATE
