priority,sheet_tab,runtime_layer,source_export,primary_key,required_columns,runtime_export_status,readiness_percent,estimated_rows,dry_run_status,write_policy,human_review_required,next_action
1,GEM_CAPTURE_INBOX,GEM_CAPTURE_INBOX,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,capture_id,"capture_id,session_id,prompt_id,image_path,status,created_at,operator_notes",READY_FOR_READONLY_EXPORT,100,2,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
2,GEM_RESPONSE_INBOX,GEM_RESPONSE_INBOX,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,response_id,"response_id,session_id,prompt_id,response_path,parser_status,created_at",READY_FOR_READONLY_EXPORT,100,2,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
3,GEM_SESSION_LOG,GEM_SESSION_LOG,00_OPERATOR_EXPORTS/P181_SESSION_LOG,session_id,"session_id,capture_id,response_id,prompt_id,status,created_at,updated_at",READY_FOR_READONLY_EXPORT,100,5,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
4,GEM_ROUNDTRIP_STATUS,GEM_ROUNDTRIP,P193R_GEM_ROUNDTRIP_EVIDENCE.csv,evidence_id,"evidence_id,evidence_type,name,source_path,is_file,is_dir,size_bytes,modified_time_epoch",READY_WITH_REVIEW,85,40,DRY_RUN_READY_WITH_REVIEW,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,REVIEW_COLUMNS_BEFORE_ANY_LIVE_WRITE
5,GEM_REVIEW_GATE,GEM_REVIEW_GATE,P187_REAL_MANUAL_CASE_GATE.json,gate_id,"gate_id,status,real_case_ready,blocker_count,blockers,next_action",READY_FOR_READONLY_EXPORT,100,1,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
6,GEM_REAL_CASE_DECISION,GEM_REAL_CASE_DECISION,P188_REAL_CASE_OPERATOR_DECISION_GATE.json,decision_gate_id,"decision_gate_id,decision_status,real_case_ready,blocker_count,next_action",READY_FOR_READONLY_EXPORT,100,1,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
7,GEM_DECISION_JOURNAL,GEM_DECISION_JOURNAL,P193R_GEM_DECISION_JOURNAL_EVIDENCE.csv,evidence_id,"evidence_id,evidence_type,name,source_path,is_file,is_dir,size_bytes,modified_time_epoch",NOT_READY,70,144,DRY_RUN_DATA_FOUND_BUT_CONTRACT_REVIEW,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,VALIDATE_CONTRACT_MAPPING
8,PROMPT_HISTORY_LIBRARY,PROMPT_HISTORY_LIBRARY,P182 prompt library export,prompt_id,"prompt_id,source_kind,status,sha12,version_label,created_at",READY_FOR_READONLY_EXPORT,100,0,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
9,PROMPT_MIGRATION_MATRIX,PROMPT_MIGRATION_MATRIX,P189H_PROMPT_MIGRATION_MATRIX.csv,prompt_id,"prompt_id,quality_score,risk_score,migration_decision,migration_reason",READY_FOR_READONLY_EXPORT,100,1291,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
10,RUNTIME_MIGRATION_TRACKER,RUNTIME_MIGRATION_TRACKER,P190R_RUNTIME_ARTIFACTS.csv,artifact_id,"artifact_id,artifact_type,name,migration_status,migration_percent,next_action",READY_FOR_READONLY_EXPORT,100,1708,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
11,GEM_TRACKING_BINDING_MATRIX,GEM_TRACKING_BINDING_MATRIX,P191R_GEM_TRACKING_BINDING_MATRIX.csv,layer_id,"layer_id,expected_sheet_tab,runtime_status,binding_percent,next_action",READY_FOR_READONLY_EXPORT,100,10,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
12,GEM_TRACKING_OPERATOR_VIEW,GEM_TRACKING_OPERATOR_VIEW,P192R_GEM_TRACKING_OPERATOR_VIEW.csv,layer_id,"priority,layer_id,operator_status,operator_action,evidence_summary",READY_FOR_READONLY_EXPORT,100,10,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
13,GEM_EVIDENCE_BINDING,GEM_EVIDENCE_BINDING,P193R_GEM_EVIDENCE_BINDING.csv,layer_id,"layer_id,evidence_status,evidence_count,evidence_percent,latest_evidence,next_action",READY_FOR_READONLY_EXPORT,100,4,DRY_RUN_READY,DRY_RUN_ONLY_NO_GOOGLE_SHEETS_WRITE,True,KEEP_DRY_RUN_ONLY_PREPARE_HUMAN_VALIDATION
