name,type,current_path,classification,proposed_target_domain,reason,apply_allowed_in_r17,operator_validation_required_for_move,recursive_file_count,recursive_dir_count,recursive_total_bytes,sha256_if_file
00_ADMIN,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN,KEEP_ROOT_ACTIVE,00_ADMIN,Expected top-level domain folder,FALSE,FALSE,35,1,269371,
01_DOCS,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS,KEEP_ROOT_ACTIVE,01_DOCS,Expected top-level domain folder,FALSE,FALSE,1477,249,122663084,
02_SHEETS,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS,KEEP_ROOT_ACTIVE,02_SHEETS,Expected top-level domain folder,FALSE,FALSE,48,5,16498564,
03_APPS_SCRIPT,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_APPS_SCRIPT,KEEP_ROOT_ACTIVE,03_APPS_SCRIPT,Expected top-level domain folder,FALSE,FALSE,140,26,6009501,
04_APPSHEET,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\04_APPSHEET,KEEP_ROOT_ACTIVE,04_APPSHEET,Expected top-level domain folder,FALSE,FALSE,20,4,29270,
05_LOOKER,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\05_LOOKER,KEEP_ROOT_ACTIVE,05_LOOKER,Expected top-level domain folder,FALSE,FALSE,5,2,820,
06_STITCH,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\06_STITCH,KEEP_ROOT_ACTIVE,06_STITCH,Expected top-level domain folder,FALSE,FALSE,25,13,10308,
07_ANTIGRAVITY,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\07_ANTIGRAVITY,KEEP_ROOT_ACTIVE,07_ANTIGRAVITY,Expected top-level domain folder,FALSE,FALSE,21,7,105845,
08_QAIC_BRIDGE,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\08_QAIC_BRIDGE,KEEP_ROOT_ACTIVE,08_QAIC_BRIDGE,Expected top-level domain folder,FALSE,FALSE,19,3,19603,
09_WEB_APP_IDE,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\09_WEB_APP_IDE,KEEP_ROOT_ACTIVE,09_WEB_APP_IDE,Expected top-level domain folder,FALSE,FALSE,9,3,2448,
99_ARCHIVES,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES,KEEP_ROOT_ACTIVE,99_ARCHIVES,Expected top-level domain folder,FALSE,FALSE,4717,613,61836774,
source,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source,HOLD_REVIEW,source,Generic source folder: needs owner decision before move/archive,FALSE,TRUE,25,1,19359067,
desktop.ini,file,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\desktop.ini,MOVE_TO_99_ARCHIVES_CANDIDATE,99_ARCHIVES,Windows/macOS noise,FALSE,TRUE,,,246,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0
