row_no,item,classification,action,source,destination,error,sha256_before,sha256_after,sha_match,live_match_count
1,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,MOVE_TO_99_ARCHIVES_CANDIDATE,MISSING_DURING_MOVE_OR_DRIVE_SYNC_RACE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,"FileNotFoundError(2, 'Le chemin d’accès spécifié est introuvable', None, 3, None)",,,,
2,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\desktop.ini,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\WINDOWS_NOISE_ARCHIVE_CANDIDATE\desktop.ini,,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0,,FALSE,
3,lexique_crypto_methodes_signaux_trading_pro.md,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\lexique_crypto_methodes_signaux_trading_pro.md,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\lexique_crypto_methodes_signaux_trading_pro.md,,325e7d0857f8a6ca90c79e87db0a74615379739c18aac0fa8040d17585ea2432,325e7d0857f8a6ca90c79e87db0a74615379739c18aac0fa8040d17585ea2432,TRUE,
4,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\desktop.ini,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\WINDOWS_NOISE_ARCHIVE_CANDIDATE\Revolut X\desktop.ini,,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0,,FALSE,
6,v25_00_reference_contract_crypto_alpha_ia.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MISSING_DURING_MOVE_OR_DRIVE_SYNC_RACE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_00_reference_contract_crypto_alpha_ia.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\v25_00_reference_contract_crypto_alpha_ia.js,"FileNotFoundError(2, 'Le chemin d’accès spécifié est introuvable', None, 3, None)",,,,
8,v25_18_portfolio_master_v25_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_18_portfolio_master_v25_contract.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\Revolut X\v25_18_portfolio_master_v25_contract.js,,b46a6b2065c64a889c12c5e3201e26bf56d33ecd6923f63ca3830dc29fbd7525,b46a6b2065c64a889c12c5e3201e26bf56d33ecd6923f63ca3830dc29fbd7525,TRUE,
9,v25_19_portfolio_master_v25_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_19_portfolio_master_v25_builder.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\Revolut X\v25_19_portfolio_master_v25_builder.js,,72d1da4516b6d8e013f348015bfaf63aaac82e2ecd3f83c8dfa3286cfb505a54,72d1da4516b6d8e013f348015bfaf63aaac82e2ecd3f83c8dfa3286cfb505a54,TRUE,
15,v25_25_manual_order_ticket_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_25_manual_order_ticket_builder.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\Revolut X\v25_25_manual_order_ticket_builder.js,,fdb0ea18c9bbdc1c07c7bac3d89e1e6d8a68006ba10c31ddf17f1c94c6c637e6,fdb0ea18c9bbdc1c07c7bac3d89e1e6d8a68006ba10c31ddf17f1c94c6c637e6,TRUE,
17,v25_28_order_log_v25_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_28_order_log_v25_builder.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\Revolut X\v25_28_order_log_v25_builder.js,,0ded135b27b7fa39a6974f83891c72bf0b5931e2eadbd4c109254c7e8b0b28dd,0ded135b27b7fa39a6974f83891c72bf0b5931e2eadbd4c109254c7e8b0b28dd,TRUE,
18,v25_29_revolut_api_readiness_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MISSING_DURING_MOVE_OR_DRIVE_SYNC_RACE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_29_revolut_api_readiness_contract.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\v25_29_revolut_api_readiness_contract.js,"FileNotFoundError(2, 'Le chemin d’accès spécifié est introuvable', None, 3, None)",,,,
