field,value
decision_status,REVIEW_REQUIRED
candidate_count,71
probable_canonical_count,10
possible_canonical_count,66
top_relative_path,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_001/MVPQAIC_Index.html
top_full_path,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_001\MVPQAIC_Index.html
top_score,95
top_role,probable_canonical_apps_script_mirror
apply_now,FALSE
public_deploy,BLOCKED
