row_no,item,classification,live_present_count,live_present_paths,status
1,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,MOVE_TO_99_ARCHIVES_CANDIDATE,1,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,STILL_IN_SOURCE
2,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
3,lexique_crypto_methodes_signaux_trading_pro.md,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
4,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
6,v25_00_reference_contract_crypto_alpha_ia.js,MOVE_TO_99_ARCHIVES_CANDIDATE,1,Revolut X/v25_00_reference_contract_crypto_alpha_ia.js,STILL_IN_SOURCE
8,v25_18_portfolio_master_v25_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
9,v25_19_portfolio_master_v25_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
15,v25_25_manual_order_ticket_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
17,v25_28_order_log_v25_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
18,v25_29_revolut_api_readiness_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,1,Revolut X/v25_29_revolut_api_readiness_contract.js,STILL_IN_SOURCE
20,v25_31_revolut_fiscal_ledger_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
21,v25_31_revolut_fiscal_ledger_builder.zip,MOVE_TO_99_ARCHIVES_CANDIDATE,1,Revolut X/v25_31_revolut_fiscal_ledger_builder.zip,STILL_IN_SOURCE
25,synthese_lexique_mvp_crypto_project_context.md,MOVE_TO_99_ARCHIVES_CANDIDATE,0,,ABSENT_FROM_SOURCE_OR_ALREADY_MOVED
