script_file_name,module_family,detected_version,function_count,top_functional_roles,top_priority,writes_sheet_likely,calls_spreadsheet,python_target_package,migration_action
appsscript.json,MANIFEST,,0,,P2,NO,NO,mvp_qaic_py.manifest,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,8,OTHER:8,P2,YES,YES,mvp_qaic_py.setup,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,12,KNOWLEDGE_SEARCH:11;DECISION_JOURNAL:1,P0,NO,YES,mvp_qaic_py.knowledge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_02_formatting.js,FORMATTING,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,5,OTHER:5,P2,NO,YES,mvp_qaic_py.formatting,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,3,INGESTION_INTAKE:3,P1,YES,YES,mvp_qaic_py.ingestion,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,MVP_QAIC_P0B2_KB_EXPANSION_0.2.4_HOTFIX_IMPORT_DEFAULT_FOLDER_SAFE,19,OTHER:15;INGESTION_INTAKE:2;PROMPT_OR_AI:1;KNOWLEDGE_SEARCH:1,P2,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,MVP_QAIC_P0B3_INSTITUTIONAL_READINESS_0.2.5,19,OTHER:15;INGESTION_INTAKE:2;DECISION_JOURNAL:1;PROMPT_OR_AI:1,P2,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVP_QAIC_P0B4_GPT_REVOLUTX_READONLY_BRIDGE_0.2.8_HOTFIX_QAIC_SCORING_SIGNAL_PROMPT_GUARD,30,PROMPT_OR_AI:30,P0,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,MVP_QAIC_P0B5_TRADE_PLAN_METHODS_TRAILING_0.2.10_HOTFIX_DEFAULT_CSV_FOLDER_ID_SAFE,21,OTHER:16;INGESTION_INTAKE:3;PROMPT_OR_AI:2,P2,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,MVP_QAIC_FULL_SIGNAL_MAPPING_0.2.11_50_50,6,OTHER:6,P2,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_09_p1_journal_core.js,JOURNAL,MVP_QAIC_P1_JOURNAL_CORE_0.4.6_SAFE_CONSOLIDATED,75,DECISION_JOURNAL:75,P0,YES,YES,mvp_qaic_py.journal,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,MVP_QAIC_P4H_WORKFLOW_CONTROL_CENTER_BATCH_MAXI_1.6.11_OUTPUT_CONTRACT_HARDENING_SAFE,747,PROMPT_OR_AI:747,P0,YES,YES,mvp_qaic_py.prompt_engine,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_20_script_registry_maintenance_core.js,SCRIPT_REGISTRY,MVP_QAIC_SCRIPT_REGISTRY_MAINTENANCE_CORE_0.1.5_DRIVE_CSV_IMPORT_SAFE,45,AUDIT_REGISTRY:45,P1,YES,YES,mvp_qaic_py.registry,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_21_sheet_inventory_cross_audit_core.js,AUDIT_INVENTORY,MVP_QAIC_SHEET_INVENTORY_CROSS_AUDIT_CORE_0.7.0_SAFE,37,AUDIT_REGISTRY:37,P1,YES,YES,mvp_qaic_py.audit,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_22_frontend_sheet_rename_migration_core.js,QAIC_BRIDGE,MVP_QAIC_FRONTEND_SHEET_RENAME_MIGRATION_CORE_0.1.0_SAFE_STANDALONE,11,WEBAPP_FRONTEND:11,P1,NO,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_23_gpt_response_intake_core.js,QAIC_BRIDGE,MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE,867,PROMPT_OR_AI:867,P0,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_31_lexique_master_search_cockpit_core.js,KNOWLEDGE_SEARCH,MVP_QAIC_LEXIQUE_MASTER_SEARCH_COCKPIT_CORE_0.9.3_EXISTING_ROW_UPDATES_REVIEW_SAFE,198,KNOWLEDGE_SEARCH:196;DECISION_JOURNAL:1;PROMPT_OR_AI:1,P0,YES,YES,mvp_qaic_py.knowledge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,MVP_QAIC_P4S_FINAL_COUNTER_HARMONIZATION_1.9.8_SAFE,186,OTHER:145;DECISION_JOURNAL:21;INGESTION_INTAKE:10;PROMPT_OR_AI:7;AUDIT_REGISTRY:3,P2,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVP_QAIC_P4O_RESPONSE_INTAKE_CONSOLIDATION_AUDIT_MAXI_2.0.0_SAFE,26,AUDIT_REGISTRY:26,P1,YES,YES,mvp_qaic_py.audit,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
mvpqaic_50_p5_webapp_readiness_core.js,QAIC_BRIDGE,MVP_QAIC_P5O_FULL_SOURCE_MERGE_FROM_P5N_ORIGINAL_0.3.1_SAFE_HUMAN_ONLY_NO_API_NO_TRUNCATION,387,WEBAPP_FRONTEND:382;DECISION_JOURNAL:5,P1,YES,YES,mvp_qaic_py.bridge,PORT_READONLY_PYTHON_LAYER_BEFORE_ANY_WRITE
