migration_id,source_spreadsheet_id,source_tab,source_row,source_hash,prompt_id,base_prompt_id,parent_prompt_id,prompt_family,gem_id,prompt_profile,record_type,status,validation_status,is_reference_locked,raw_prompt_text,prompt_text_field_used,python_simplification_action,p137_correction_status,p133_compatibility_status,target_sheet,target_row_strategy,write_status,human_review_status,blockers
MIG-prompt_01_portfolio_analysis-fe293d100e8c,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,GPT_PROMPT_RUNTIME_SPEC,2,fe293d100e8c14fd942573a8bf46c52bf36ac6fbbb2c463543cf4eae265b0729,prompt_01_portfolio_analysis,,,,UNKNOWN_GEM,,,,VALIDATED,False,,,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,BLOCKED_NO_PROMPT_TEXT,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,PROMPT_TEXT_MISSING | GEM_ID_MISSING
MIG-prompt_02_market_analysis-3944102d58a4,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,GPT_PROMPT_RUNTIME_SPEC,3,3944102d58a4a46124e53036b7f67bed8154f2e637bd760b09aad8c4b6affb8f,prompt_02_market_analysis,,,,UNKNOWN_GEM,,,,VALIDATED,False,,,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,BLOCKED_NO_PROMPT_TEXT,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,PROMPT_TEXT_MISSING | GEM_ID_MISSING
MIG-prompt_03_buy_analysis_multi_horizon-a570fd9d7c96,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,GPT_PROMPT_RUNTIME_SPEC,4,a570fd9d7c96fbd1ac151489500b14627760d426c68d1028380fcab241830a92,prompt_03_buy_analysis_multi_horizon,,,,UNKNOWN_GEM,,,,VALIDATED,False,,,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,BLOCKED_NO_PROMPT_TEXT,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,PROMPT_TEXT_MISSING | GEM_ID_MISSING
MIG-prompt_04_volatile_leverage_analysis-160099896745,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,GPT_PROMPT_RUNTIME_SPEC,5,160099896745c3ebd72f64eebc66db7f6325d904e429ed3547b304f008c3aee6,prompt_04_volatile_leverage_analysis,,,,UNKNOWN_GEM,,,,VALIDATED,False,,,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,BLOCKED_NO_PROMPT_TEXT,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,PROMPT_TEXT_MISSING | GEM_ID_MISSING
MIG-prompt_05_full_trading_review-b7b11a16abda,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,GPT_PROMPT_RUNTIME_SPEC,6,b7b11a16abda1c181c11eee1d81946b2662459d03db22ac99f54803a70021bf3,prompt_05_full_trading_review,,,,UNKNOWN_GEM,,,,VALIDATED,False,,,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,BLOCKED_NO_PROMPT_TEXT,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,PROMPT_TEXT_MISSING | GEM_ID_MISSING
MIG-qaic_output_contract_row_2-2d5447e0b817,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,2,2d5447e0b81766316b213f1f2bdab7414711ff7e30ddad6dba4c6fc0c268a8a5,qaic_output_contract_row_2,,,,UNKNOWN_GEM,,,,VALIDATED,False,Identifiant actif normalisé.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_3-820f1004a1c2,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,3,820f1004a1c234a380c47549800a6602334d29539766b85132a85ccb6aff86de,qaic_output_contract_row_3,,,,UNKNOWN_GEM,,,,VALIDATED,False,Non calculé dans MVP actuel.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_4-4d089b4f0137,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,4,4d089b4f01377ef909c20f27f308542dd2541d1973e8e763237f253f70c22a6e,qaic_output_contract_row_4,,,,UNKNOWN_GEM,,,,VALIDATED,False,Risque prime sur alpha.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_5-a43315686144,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,5,a4331568614423cf3e8488f12546ae6da81f47a8688331ec8f321273f8d76d77,qaic_output_contract_row_5,,,,UNKNOWN_GEM,,,,VALIDATED,False,Spread/depth/volume.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_6-dafdef303fca,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,6,dafdef303fca952d050e6ce53d03e50891382ea211f6c03217bf4c5722873e5f,qaic_output_contract_row_6,,,,UNKNOWN_GEM,,,,VALIDATED,False,Pas d’ordre auto.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_7-5d2a4e9bc640,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,7,5d2a4e9bc640e635661dfb0a5abf1d163376f442e9a45d57b39ce3c1797f6619,qaic_output_contract_row_7,,,,UNKNOWN_GEM,,,,VALIDATED,False,Ne pas inventer.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_8-9f2e7266852b,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,8,9f2e7266852b4c22e8407e98c949929e9b7e54acd90cc2ace976f59d83e44221,qaic_output_contract_row_8,,,,UNKNOWN_GEM,,,,VALIDATED,False,Premier objectif.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
