migration_id,prompt_id,source_tab,source_row,source_hash,gem_id,record_type,target_sheet,target_row_strategy,p138b_decision,p138b_write_action,p138b_write_ready,p138c_allowed_after_go,protect_locked_reference,duplicate_prompt_id_count,duplicate_source_hash_count,blockers,review_notes
MIG-prompt_01_portfolio_analysis-fe293d100e8c,prompt_01_portfolio_analysis,GPT_PROMPT_RUNTIME_SPEC,2,fe293d100e8c14fd942573a8bf46c52bf36ac6fbbb2c463543cf4eae265b0729,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,2,1,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_02_market_analysis-3944102d58a4,prompt_02_market_analysis,GPT_PROMPT_RUNTIME_SPEC,3,3944102d58a4a46124e53036b7f67bed8154f2e637bd760b09aad8c4b6affb8f,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,2,1,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_03_buy_analysis_multi_horizon-a570fd9d7c96,prompt_03_buy_analysis_multi_horizon,GPT_PROMPT_RUNTIME_SPEC,4,a570fd9d7c96fbd1ac151489500b14627760d426c68d1028380fcab241830a92,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,2,1,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_04_volatile_leverage_analysis-160099896745,prompt_04_volatile_leverage_analysis,GPT_PROMPT_RUNTIME_SPEC,5,160099896745c3ebd72f64eebc66db7f6325d904e429ed3547b304f008c3aee6,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,2,1,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_05_full_trading_review-b7b11a16abda,prompt_05_full_trading_review,GPT_PROMPT_RUNTIME_SPEC,6,b7b11a16abda1c181c11eee1d81946b2662459d03db22ac99f54803a70021bf3,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,2,1,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_2-2d5447e0b817,qaic_output_contract_row_2,QAIC_OUTPUT_CONTRACT,2,2d5447e0b81766316b213f1f2bdab7414711ff7e30ddad6dba4c6fc0c268a8a5,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_3-820f1004a1c2,qaic_output_contract_row_3,QAIC_OUTPUT_CONTRACT,3,820f1004a1c234a380c47549800a6602334d29539766b85132a85ccb6aff86de,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_4-4d089b4f0137,qaic_output_contract_row_4,QAIC_OUTPUT_CONTRACT,4,4d089b4f01377ef909c20f27f308542dd2541d1973e8e763237f253f70c22a6e,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_5-a43315686144,qaic_output_contract_row_5,QAIC_OUTPUT_CONTRACT,5,a4331568614423cf3e8488f12546ae6da81f47a8688331ec8f321273f8d76d77,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_6-dafdef303fca,qaic_output_contract_row_6,QAIC_OUTPUT_CONTRACT,6,dafdef303fca952d050e6ce53d03e50891382ea211f6c03217bf4c5722873e5f,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
