layer_id,expected_sheet_tab,runtime_status,binding_percent,local_path,source_exists,local_file_count,python_handler,handler_status,nicegui_route,route_bound,next_action,purpose
GEM_CAPTURE_INBOX,GEM_CAPTURE_INBOX,BOUND_RUNTIME_VISIBLE,100,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,True,2,p181/p183 capture workflow,BOUND,/capture,True,KEEP_TRACKING,Stocker les captures portfolio à traiter.
GEM_RESPONSE_INBOX,GEM_RESPONSE_INBOX,BOUND_RUNTIME_VISIBLE,100,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,True,2,p184 parser,BOUND,/responses,True,KEEP_TRACKING,Stocker les réponses GEM collées localement.
GEM_SESSION_LOG,GEM_SESSION_LOG,BOUND_RUNTIME_VISIBLE,100,00_OPERATOR_EXPORTS/P181_SESSION_LOG,True,5,p183 session linker,BOUND,/sessions,True,KEEP_TRACKING,"Relier capture, prompt, réponse et session."
GEM_ROUNDTRIP,GEM_ROUNDTRIP_STATUS,BOUND_PARTIAL,85,05_EXPORTS,True,0,p185/p186 roundtrip,BOUND,/roundtrip,True,ADD_MISSING_RUNTIME_EVIDENCE,Valider le cycle capture → prompt → réponse → review.
GEM_REVIEW_GATE,GEM_REVIEW_GATE,BOUND_RUNTIME_VISIBLE,100,mvp_qaic_py/p187_real_manual_portfolio_case_review_gate.py,True,1,p187 real manual gate,BOUND,/review,True,KEEP_TRACKING,Bloquer ou valider le passage en review humaine.
GEM_REAL_CASE_DECISION,GEM_REAL_CASE_DECISION,BOUND_RUNTIME_VISIBLE,100,mvp_qaic_py/p188_real_case_ui_operator_decision_gate.py,True,1,p188 real case UI gate,BOUND,/real-case,True,KEEP_TRACKING,Afficher WAITING_INPUTS ou READY_FOR_HUMAN_DECISION.
GEM_DECISION_JOURNAL,GEM_DECISION_JOURNAL,BOUND_PARTIAL,70,05_EXPORTS,True,0,decision journal bridge,PARTIAL_LOCAL_EXPORTS,/review,True,ADD_MISSING_RUNTIME_EVIDENCE,Tracer les décisions humaines review-only.
PROMPT_HISTORY_LIBRARY,PROMPT_HISTORY_LIBRARY,BOUND_RUNTIME_VISIBLE,100,mvp_qaic_py/p182_prompt_history_library_version_studio.py,True,1,p182 prompt library,BOUND,/prompt,True,KEEP_TRACKING,"Suivre prompt actif, historiques et références."
PROMPT_MIGRATION_MATRIX,PROMPT_MIGRATION_MATRIX,BOUND_RUNTIME_VISIBLE,100,mvp_qaic_py/p189h_historical_prompt_quality_audit.py,True,1,p189h historical audit,BOUND,/migration,True,KEEP_TRACKING,Qualifier les prompts historiques: merge/archive/reject/review.
RUNTIME_MIGRATION_TRACKER,RUNTIME_MIGRATION_TRACKER,BOUND_RUNTIME_VISIBLE,100,mvp_qaic_py/p190r_runtime_migration_tracker_live_readonly.py,True,1,p190r runtime tracker,BOUND,/migration,True,KEEP_TRACKING,Suivre migration onglets/scripts/fonctions/Python/routes.
