candidate_id,source_path,classification,score,decision,sha12,size_chars_sampled,contains_no_broker,contains_no_order,contains_no_sizing,contains_usd,contains_json
PROMPT_0176_3abed3367960,05_EXPORTS/P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525/P132_CONTRACT.json,ACTIVE_RUNTIME_PROMPT,100,MASTER_BASE_CANDIDATE,5bde629e2d21,2022,False,False,False,True,True
PROMPT_0179_ea90959d22b2,05_EXPORTS/P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525/P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,ACTIVE_RUNTIME_PROMPT,100,MASTER_BASE_CANDIDATE,04af1253302e,6000,True,True,True,True,True
PROMPT_0181_24e09feaab55,05_EXPORTS/P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525/P132_MANIFEST.json,ACTIVE_RUNTIME_PROMPT,100,MASTER_BASE_CANDIDATE,8a759d5b4d37,3919,False,False,False,True,True
PROMPT_0429_d602927dcfe9,mvp_qaic_py/multimodal_gem_image_prompt_usd_contract.py,ACTIVE_RUNTIME_PROMPT,100,MASTER_BASE_CANDIDATE,2f56c6658fb2,6000,False,False,False,True,True
PROMPT_0319_3f5e3248b653,05_EXPORTS/P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825/P164_HISTORICAL_PROMPT_AUDIT_REPORT.md,HISTORICAL_AUDIT_PROMPT,100,MERGE_INTO_MASTER_REVIEW,c01635559d55,6000,True,True,True,True,True
PROMPT_0320_5ac92deb13d1,05_EXPORTS/P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825/P164_HISTORICAL_PROMPT_INVENTORY.csv,HISTORICAL_AUDIT_PROMPT,100,MERGE_INTO_MASTER_REVIEW,deb7673399d8,6000,True,True,True,True,True
PROMPT_0371_426641a5853a,05_EXPORTS/P189H_HISTORICAL_PROMPT_QUALITY_AUDIT_20260624_110651/P189H_HISTORICAL_PROMPT_QUALITY_AUDIT.json,HISTORICAL_AUDIT_PROMPT,100,MERGE_INTO_MASTER_REVIEW,c2b7050f74c4,6000,True,True,True,True,True
PROMPT_0372_aab55b670933,05_EXPORTS/P189H_HISTORICAL_PROMPT_QUALITY_AUDIT_20260624_110651/P189H_PROMPT_MIGRATION_MATRIX.csv,HISTORICAL_AUDIT_PROMPT,100,MERGE_INTO_MASTER_REVIEW,2c8935fd099c,6000,True,True,True,True,True
PROMPT_0446_fac94a3b9f9c,mvp_qaic_py/p164_historical_prompt_audit_reference_rebuild.py,HISTORICAL_AUDIT_PROMPT,100,MERGE_INTO_MASTER_REVIEW,cc3dc0a308d8,6000,True,True,True,True,True
PROMPT_0206_6cc788be8801,05_EXPORTS/P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558/P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,PROMPT_EXPORT_REFERENCE,100,MERGE_INTO_MASTER_REVIEW,93eaff34a87b,6000,True,True,True,True,True
PROMPT_0209_93e575def00e,05_EXPORTS/P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757/P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,PROMPT_EXPORT_REFERENCE,100,MERGE_INTO_MASTER_REVIEW,0f5b4e93c4db,6000,True,True,True,True,True
