prompt_id,status,source_path,sha12,char_count,has_gem,has_portfolio,has_image,has_review_required,notes
p173_nicegui_private_local_runner.py,ACTIVE_RUNTIME,mvp_qaic_py\p173_nicegui_private_local_runner.py,69be208dc05c,29171,True,True,True,True,Auto-classified local prompt candidate; review-only.
multimodal_gem_image_prompt_usd_contract.py,REFERENCE_AUDIT,mvp_qaic_py\multimodal_gem_image_prompt_usd_contract.py,ab12d0339b27,23337,True,True,True,True,Auto-classified local prompt candidate; review-only.
p177_gem_portfolio_prompt_workflow_usable_smoke.py,REFERENCE_AUDIT,mvp_qaic_py\p177_gem_portfolio_prompt_workflow_usable_smoke.py,394088cf6547,9442,True,True,True,True,Auto-classified local prompt candidate; review-only.
P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245__P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245\P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_REPORT.md,95056d3f60a9,752,False,True,True,False,Auto-classified local prompt candidate; review-only.
P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228__P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228\P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_REPORT.md,dc5f86cd7a30,734,False,True,True,False,Auto-classified local prompt candidate; review-only.
P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204__P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_REPORT.md,b5c3e62481ba,725,False,True,False,False,Auto-classified local prompt candidate; review-only.
P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413__P112_GEM_PORTFOLIO_PROMPT_MODULE_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413\P112_GEM_PORTFOLIO_PROMPT_MODULE_REPORT.md,87932fa70773,396,True,True,True,True,Auto-classified local prompt candidate; review-only.
P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413__P112_GEM_READY_PORTFOLIO_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413\P112_GEM_READY_PORTFOLIO_PROMPT.md,c56262a7b4c1,2067,True,True,True,True,Auto-classified local prompt candidate; review-only.
P114_GEM_PROMPT_RUNNER_PACK_COPY_PASTE_AND_JSON_CONTRACT_20260622_124512__P114_GEM_PROMPT_COPY_PASTE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P114_GEM_PROMPT_RUNNER_PACK_COPY_PASTE_AND_JSON_CONTRACT_20260622_124512\P114_GEM_PROMPT_COPY_PASTE.md,819919f13a8b,3297,True,True,True,True,Auto-classified local prompt candidate; review-only.
P116_GEM_PROMPT_RUNTIME_MINI_CLI_20260622_132029__P116_GEM_PROMPT_COPY_PASTE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P116_GEM_PROMPT_RUNTIME_MINI_CLI_20260622_132029\P116_GEM_PROMPT_COPY_PASTE.md,ac733ec96323,3515,True,True,True,True,Auto-classified local prompt candidate; review-only.
P129_IMAGE_TO_PROMPT_MANUAL_TRANSCRIPTION_BRIDGE_20260622_162333__P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P129_IMAGE_TO_PROMPT_MANUAL_TRANSCRIPTION_BRIDGE_20260622_162333\P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,c157a4ad3244,467,False,True,True,True,Auto-classified local prompt candidate; review-only.
