rank,rel_path,suffix,size_bytes,source_kind,score,keyword_hits,excerpt
1,mvp_qaic_py/p164_historical_prompt_audit_reference_rebuild.py,.py,13347,CURRENT_RUNTIME_CONTRACT_REFERENCE,321,demande globale|plusieurs points|mission globale|prompt global|prompt de référence|prompt historique|gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|hard rules|no broker|no order|no sizing|P132|P133|path_historical_bonus|path_prompt_bonus,"ycache__"", "".pytest_cache"", "".ruff_cache"", ""node_modules"", } ALLOWED_SUFFIXES = {"".py"", "".md"", "".txt"", "".csv"", "".json"", "".html"", "".yaml"", "".yml""} KEYWORDS = { ""demande globale"": 30, ""plusieurs points"": 28, ""mission globale"": 24, ""prompt global"": 22, ""prompt de référence"": 22, ""prompt historique"": 20, ""gem"": 14, ""portfolio"": 14, ""capture"": 12, ""image"": 12, ""revolut"": 12, ""json"": 10, ""human_review"": 12, ""human review"": 12, ""review_required"": 10, ""risk"": 8, ""risque"": 8, ""decision"": 8, ""décision"": 8, ""hard rules"": 7, ""no broker"": 8, ""no order"": 8, ""no sizing"": 8, ""P132"": -14, ""P133"": -14, } @dataclass(frozen=True) class PromptCandidate: rel_path: str suffix: str size_bytes: int source_kind: str score: int keyword_hits: str excerpt: str def _read(path: Path) -> str: if path.stat().st_size > 260_000: return """" for enc in (""utf-8"", ""utf-8-sig"", ""cp1252""): try: return path.read_text(encoding=enc"
2,tests/test_p164_historical_prompt_audit_reference_rebuild.py,.py,3326,CURRENT_RUNTIME_CONTRACT_REFERENCE,263,demande globale|plusieurs points|mission globale|prompt global|gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risque|décision|hard rules|no broker|no order|no sizing|P132|P133|path_historical_bonus|path_prompt_bonus,"multimodal_gem_image_prompt_usd_contract.py"", ""P132 P133 portfolio prompt image json hard rules"", ) _write( tmp_path / ""archives"" / ""prompt_global_ancien.md"", ""Demande globale en plusieurs points GEM portfolio capture image JSON human_review no broker no order no sizing"", ) rows = build_inventory(tmp_path) kinds = {r.rel_path: r.source_kind for r in rows} assert ( kinds[""mvp_qaic_py/multimodal_gem_image_prompt_usd_contract.py""] == ""CURRENT_RUNTIME_CONTRACT_REFERENCE"" ) assert ""HISTORICAL"" in kinds[""archives/prompt_global_ancien.md""] def test_p164_writes_reference_candidate_review_only(tmp_path: Path) -> None: _write( tmp_path / ""old_prompts"" / ""prompt_global_ancien.md"", ""Prompt global: demande globale en plusieurs points. GEM portfolio capture écran Revolut image JSON risque décision REVIEW_REQUIRED."", ) summary = build_and_write_export(tmp_path) assert summary[""STATUS""].startswith(""OK_P"
3,mvp_qaic_py/multimodal_gem_image_prompt_usd_contract.py,.py,24049,CURRENT_RUNTIME_CONTRACT_REFERENCE,139,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risk|decision|hard rules|no broker|no order|no sizing|P132|P133|path_prompt_bonus,"mps( build_expected_gem_output_schema(), ensure_ascii=False, indent=2, sort_keys=True ) return f"""""" # P132 GEM Multimodal Portfolio Prompt — Revolut X / USD ## Input mode You will receive: 1. One attached image/screenshot from Revolut X or a similar crypto portfolio interface. 2. Optional copied text from the same interface. The image is part of this main prompt. Do not ask for or create a separate preliminary step where you only read the image. Perform the portfolio extraction and review in this single response. ## Langue de réponse - Réponds en français pour tous les textes rédigés, explications, résumés, commentaires et notes. - Conserve exactement les noms de champs JSON, les statuts techniques, les enums, les booléens et les marqueurs de sécurité définis dans le schéma. - Ne traduis pas les clés JSON. - Si la réponse est en JSON, les valeurs textuelles peuvent être en français, mais"
4,05_EXPORTS/P140_NICEGUI_COCKPIT_REPLICA_RENDERER_20260623_120204/P140_NICEGUI_REPLICA_APP.py,.py,44459,CURRENT_RUNTIME_CONTRACT_REFERENCE,138,gem|portfolio|capture|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|no broker|no order|no sizing|P133,"\n ""required_decision_matrix_rules"",\n ""required_output_template"",\n ""required_data_requirements"",\n ""required_qaic_mappings"",\n ""revolut_x_inclusion_mode"",\n ""portfolio_required"",\n ""journal_write_required"",\n ""execution_modes"",\n ""risk_guards"",\n ""priority"",\n ""validation_status""\n ],\n ""filter_view_count"": 0,\n ""frozen_column_count"": 0,\n ""frozen_row_count"": 1,\n ""has_basic_filter"": true,\n ""header_rows_preview"": [\n [\n ""stable_id"",\n ""prompt_id"",\n ""runtime_name"",\n ""required_sections"",\n ""required_signal_families"",\n ""required_decision_matrix_rules"",\n ""required_output_template"",\n ""required_data_requirements"",\n ""required_qaic_mappings"",\n ""revolut_x_inclusion_mode"",\n ""portfolio_required"",\n ""journal_write_required"",\n ""execution_modes"",\n ""risk_guards"",\n ""priority"",\n ""validation_status""\n ],\n [\n ""runtime_p1_portfolio"",\n ""prompt_01_portfolio_analysis"",\n ""P1 Portfolio Runtim"
5,mvp_qaic_py/gem_portfolio_prompt_module.py,.py,8576,PROMPT_RELATED_SOURCE_CANDIDATE,136,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"automatic order execution, return `BLOCKED`. - Keep `human_decision_only=true` and `no_order_no_sizing=true`. ## User goal {payload[""user_goal""]} ## Portfolio input mode `{payload[""portfolio_input_mode""]}` ## Portfolio pasted text ```text {pasted_text or ""NONE""} ``` ## Portfolio image / capture reference `{image_reference or ""NONE""}` If this is image/capture based, do not claim OCR or visual extraction unless explicit extracted text is supplied. Ask for human confirmation of visible assets/quantities/values. ## Structured positions {positions_md} ## Market context ```text {payload[""market_context""] or ""NONE""} ``` ## Risk profile `{payload[""risk_profile""]}` ## Missing data already known {missing} ## Blockers already known {blockers} ## Questions for user {questions} ## Required output JSON shape ```json {json.dumps(payload[""expected_output_schema""], ensure_ascii=False, indent=2)} ``` """""""
6,05_EXPORTS/P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901/P138C_BACKUP___PROMPT_LIBRARY.csv,.csv,138779,EXPORT_ARCHIVE_REFERENCE,134,gem|portfolio|revolut|human_review|human review|review_required|risk|risque|decision|décision|no order|no sizing|path_prompt_bonus,"ring_basis | missing_data | blockers | quality_score,score_id | risk_guard | missing_data | blockers | confidence_score | quality_score,critical_trade_metric | portfolio_metric_for_portfolio_decision | risk_guard_for_trade_decision,optional_metric | weak_confidence | partial_context,NO_SCORE_INVENTION | NO_PROXY_SCORE_WITHOUT_LABEL | NO_TRADE_PLAN_FROM_PARTIAL_SCORE,EXPLICIT_SCORE_FIELDS_WITH_NOT_AVAILABLE_ALLOWED,Return NOT_AVAILABLE or REVIEW_REQUIRED if data is missing.,P0_BLOCKER,HUMAN_REVIEW,,P2VCLN-20260612-172612,12/06/2026,MVP_QAIC_P2AB_LIBRARY_USED_BY_AND_PROMPT_DETAIL_FIX_1.1.8_SAFE,Seeded scoring contract rebuilt by P2-X.,,,NON_NEGOTIABLE P1G-GEM-LEXIQUE-001,Profil Gem — Lexique éducatif,RUNTIME_PROFILE,Profil runtime/Gem — GEM_LEXIQUE_EDUCATIONAL,GEM_LEXIQUE_EDUCATIONAL,RUNTIME_PROFILE,RUNTIME_CAPABILITY_PROFILE,ACTIVE,READY_TO_TEST,KEEP_CORE_OR_PROFILE,Contrat socle ou profi"
7,05_EXPORTS/P150B_LOCAL_PRIVATE_RELEASE_PACK_20260623_132954/release_evidence/P140_NICEGUI_COCKPIT_REPLICA_RENDERER/P140_NICEGUI_COMPONENT_MODEL.json,.json,44295,CURRENT_RUNTIME_CONTRACT_REFERENCE,130,gem|portfolio|capture|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|no order|no sizing|P133,"l_families"", ""required_decision_matrix_rules"", ""required_output_template"", ""required_data_requirements"", ""required_qaic_mappings"", ""revolut_x_inclusion_mode"", ""portfolio_required"", ""journal_write_required"", ""execution_modes"", ""risk_guards"", ""priority"", ""validation_status"" ], ""filter_view_count"": 0, ""frozen_column_count"": 0, ""frozen_row_count"": 1, ""has_basic_filter"": true, ""header_rows_preview"": [ [ ""stable_id"", ""prompt_id"", ""runtime_name"", ""required_sections"", ""required_signal_families"", ""required_decision_matrix_rules"", ""required_output_template"", ""required_data_requirements"", ""required_qaic_mappings"", ""revolut_x_inclusion_mode"", ""portfolio_required"", ""journal_write_required"", ""execution_modes"", ""risk_guards"", ""priority"", ""validation_status"" ], [ ""runtime_p1_portfolio"", ""prompt_01_portfolio_analysis"", ""P1 Portfolio Runtime"", ""portfolio_snapshot,revolut_x_status,decision_matrix,data_qual"
8,05_EXPORTS/P140_NICEGUI_COCKPIT_REPLICA_RENDERER_20260623_120204/P140_NICEGUI_COMPONENT_MODEL.json,.json,44295,CURRENT_RUNTIME_CONTRACT_REFERENCE,130,gem|portfolio|capture|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|no order|no sizing|P133,"l_families"", ""required_decision_matrix_rules"", ""required_output_template"", ""required_data_requirements"", ""required_qaic_mappings"", ""revolut_x_inclusion_mode"", ""portfolio_required"", ""journal_write_required"", ""execution_modes"", ""risk_guards"", ""priority"", ""validation_status"" ], ""filter_view_count"": 0, ""frozen_column_count"": 0, ""frozen_row_count"": 1, ""has_basic_filter"": true, ""header_rows_preview"": [ [ ""stable_id"", ""prompt_id"", ""runtime_name"", ""required_sections"", ""required_signal_families"", ""required_decision_matrix_rules"", ""required_output_template"", ""required_data_requirements"", ""required_qaic_mappings"", ""revolut_x_inclusion_mode"", ""portfolio_required"", ""journal_write_required"", ""execution_modes"", ""risk_guards"", ""priority"", ""validation_status"" ], [ ""runtime_p1_portfolio"", ""prompt_01_portfolio_analysis"", ""P1 Portfolio Runtime"", ""portfolio_snapshot,revolut_x_status,decision_matrix,data_qual"
9,mvp_qaic_py/gem_prompt_usability_pack.py,.py,10715,PROMPT_RELATED_SOURCE_CANDIDATE,128,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|decision|path_prompt_bonus,"PASTED_TEXT = ( ""BTC 0.10 value EUR 6500; ETH 1.20 value EUR 4200; "" ""USDC 1000 value EUR 920; source=manual sample; prices not verified."" ) DEFAULT_STRUCTURED_PORTFOLIO = { ""source"": ""manual_sample"", ""human_review_only"": True, ""positions"": [ {""asset"": ""BTC"", ""quantity"": ""0.10"", ""value_eur"": ""6500"", ""confidence"": ""manual""}, {""asset"": ""ETH"", ""quantity"": ""1.20"", ""value_eur"": ""4200"", ""confidence"": ""manual""}, {""asset"": ""USDC"", ""quantity"": ""1000"", ""value_eur"": ""920"", ""confidence"": ""manual""}, ], ""notes"": ""Sample only. Do not infer live price, PnL, broker state, order, or sizing."", } def build_usability_contract() -> dict[str, Any]: return { ""contract"": ""P117_PROMPT_GEM_RUNTIME_USABILITY_PACK"", ""version"": VERSION, ""status"": ""LOCAL_ONLY_READY_FOR_OPERATOR_REVIEW"", ""purpose"": ""Make P116 GEM prompt runtime usable for daily manual portfolio reviews."", ""primary_command"": ""python -m mvp_qaic_py.gem_p"
10,mvp_qaic_py/gem_loop_operator_handoff.py,.py,14466,SUPPORTING_PROMPT_CONTEXT,128,gem|portfolio|capture|revolut|json|human_review|human review|review_required|decision|no broker|no order|no sizing,"or field in CHECKLIST_FIELDS}) def _daily_commands_markdown() -> str: return ""\n"".join( [ ""# P122 Daily Operator Commands"", """", ""## 1. Create daily prompt from portfolio text"", """", ""```powershell"", 'python -m mvp_qaic_py.gem_prompt_daily_shortcut --output-dir ""05_EXPORTS/DAILY_GEM_RUN"" --pasted-text-file ""portfolio_input.txt"" --run-id ""DAILY-GEM-RUN""', ""```"", """", ""## 2. Paste the generated prompt into GEM manually"", """", ""Open:"", """", ""`05_EXPORTS/DAILY_GEM_RUN/P118_RUNTIME_PACK/P116_GEM_PROMPT_COPY_PASTE.md`"", """", ""## 3. Capture GEM response locally"", """", ""```powershell"", 'python -m mvp_qaic_py.gem_response_review_queue --output-dir ""05_EXPORTS/DAILY_GEM_RESPONSE_CAPTURE"" --response-text-file ""gem_response.txt"" --source-prompt-run-id ""DAILY-GEM-RUN"" --response-run-id ""DAILY-GEM-RESPONSE""', ""```"", """", ""## 4. Bridge to local decision journal candidate"", """", ""```powershell"", 'python -m mvp_q"
