proposed_action,confidence,validation_required,reason,source_relative_path,source_sha256,source_bytes,source_domain_hint,source_full_name,target_relative_path,target_sha256,target_bytes,target_domain_hint,target_full_name,proposed_target_relative_path,proposed_source_archive_relative_path,r5_bucket,r5_reason,r5_apply_mode,r5_proposed_docs_relative_target,r5_recommendation
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/README.md,754515f58b8182a239d9e19fddd77f6bf4f0e2589cfe2033c1e1d4321f687f37,563,DOCUMENTATION,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\README.md,brand_assets/mvp_qaic/README.md,cb46cdbde77eeea67370bd68ff19293ed91aa79ee089432406dc30fd6942849e,672,BRAND_ASSET,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\brand_assets\mvp_qaic\README.md,imported_from_crypto_signal_os/01_DOCS/README.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/README.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,42ae7af7c0eef5bccd1ead968c3d9d718be055d40a883620a627d855cef53e26,99443,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,FINAL/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,3273d14aded9ebd54de9b8318f8101af3568128d67fdeb8067be13bbdb346956,99384,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,19bb29b04eb51e5f427eaba274216ce4f2f8fbc5e5840452f51b213a0903bb52,112864,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,FINAL/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,640d1a7fdd7610cf1aa18f9031654ed9736b9a62a5ba4ea56281b31ceff75da2,112822,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,dd2283b075280e80ce7b5255c1583e95734156dfba81a660eae79c541bd85cca,101753,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,FINAL/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,f5ed862204531ec190d1adf747ef8b7a11a67751abbac4d696ed0dcdda106fe1,101653,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,8879f0e264aa594a64dfe3452c231c47a8a7b77c9591c942ccca5aedf41cca25,124667,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,FINAL/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,d7db8f3378fb1ce267041f5e41a3866c7ed02fd144d5327e8816750b5691f10b,124640,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,91b425118bcdd3a9dd8d004d52ac4f18e2aecc252321e83d207d4afb3d25a337,144138,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,FINAL/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,98e795bc8723e892f97de60f85d58df85925988da4b071f69f764f8254ed3a3e,143997,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,478e6a59c08ad814d2a047974f6f3ee00e9eb8742200722bc93c381c1c9a41b8,1196,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,FINAL/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,bcde1adeed8f71405e7c1ab921f12a8e0c38a57434e7d641b73d8ac597e641dc,1191,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,4bde1c9f8b705dbaa27c46abcd72dd4f529d94e1e3bc2d570da55e2be78b2b97,2588,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,FINAL/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,26fb9fef1fff2b402783db9249035cffd6a9ab4aeb4943b9be82bd42c68b6652,2581,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,f34d010f2e155158bff0b420a55a940f293aed4c8da30a72be1c81f8a355b995,1166,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,FINAL/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,95bd9d78723743736cdd387ff280fb96a331f7fc1d33d981f1dee4ce5de6841a,1163,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
REVIEW_SAME_NAME_DIFFERENT_HASH_OR_PATH,MEDIUM,YES,A file with same name exists in target docs; human review needed before import/fusion,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,8d8aaf1705f083bc52a95816ed62fb68da3bfe9748c38c93df36f3b92ccaef50,18211,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,FINAL/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,d6fa975d7b4e1f8a30db9d0271cb0c2bd825aac89d9546012429fdbe33d84afe,18204,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,FINAL/imported_from_crypto_signal_os/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,,REVIEW_CONFLICT_SAME_NAME_DIFFERENT_HASH,Selected for human review: same name but different hash or path; do not overwrite automatically.,HUMAN_REVIEW_REQUIRED_NO_OVERWRITE,FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,MANUAL_DIFF_REQUIRED_BEFORE_ANY_OVERWRITE
