row_id,scope,source_name,source_type,module_family,function_name,function_visibility,severity,risk_score,migration_status,migration_status_fr,target_layer,current_coverage,rationale,next_action,evidence
SHEET_COCKPIT_001,SHEETS_COCKPIT,Mission Control,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,REFLEX_UI_BINDING,Brancher dans l’interface Reflex,REFLEX_UI,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Déjà présent partiellement ; compléter liens et statuts.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Cockpit accueil/pilotage MVP
SHEET_COCKPIT_002,SHEETS_COCKPIT,Dev Tracking,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,REFLEX_UI + LOCAL_DOCS,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,"À alimenter depuis Git, 05_EXPORTS et seal reports.","Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.","Lots Pxxx, commits, tags, gates, incidents"
SHEET_COCKPIT_003,SHEETS_COCKPIT,CDC Tracker,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,REFLEX_UI + DOCS,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Conserver JSON machine + affichage lisible.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",CDC produit / architecture / routes
SHEET_COCKPIT_004,SHEETS_COCKPIT,Migration Tracker,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,REFLEX_UI + DOCS,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Doit devenir la vue globale enrichie par CSV CLASP.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Migration Sheets/Apps Script vers Python/Reflex
SHEET_COCKPIT_005,SHEETS_COCKPIT,Auto-update Trackers,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,REFLEX_UI,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Fondation posée en P12E-R2G.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Statut sync locale docs/exports/runtime
SHEET_COCKPIT_006,SHEETS_COCKPIT,Prompt Cockpit,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,REFLEX_UI + PYTHON,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Cœur MVP privé.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.","Prompt, contexte, human-review"
SHEET_COCKPIT_007,SHEETS_COCKPIT,Benchmark AI Trade,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_LATER,À migrer plus tard,PYTHON + REFLEX_UI,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Secondaire après migration globale.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Benchmark réponses IA et scoring qualité
SHEET_COCKPIT_008,SHEETS_COCKPIT,Decision Journal,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_NOW,À migrer maintenant,PYTHON + LOCAL_EXPORT + FUTURE_BIGQUERY,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Préparer export/BigQuery futur.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Journal décision human-review
SHEET_COCKPIT_009,SHEETS_COCKPIT,Prompt History Library,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_LATER,À migrer plus tard,PYTHON + REFLEX_UI,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Audit prompt et régression.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Bibliothèque prompts/versions
SHEET_COCKPIT_010,SHEETS_COCKPIT,Response Draft,SEEDED_COCKPIT_OR_PLATFORM_VIEW,SHEETS_OR_TARGET_PLATFORM,,,REVIEW,0,MIGRATE_LATER,À migrer plus tard,PYTHON + REFLEX_UI,SEEDED_FROM_PROJECT_CONTEXT_REQUIRES_OPERATOR_REVIEW,Boucle de correction humaine.,"Valider couverture réelle, intérêt métier, puis rattacher à route Reflex ou statut no-migrate.",Brouillons de réponses/corrections
