relative_path,name,suffix,parent,exists,is_file,size_bytes,mtime_utc,absolute_path
architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,.md,.,TRUE,TRUE,44769,2026-06-20T08:48:41.323000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md
desktop.ini,desktop.ini,.ini,.,TRUE,TRUE,246,2026-07-01T08:02:55.997579+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\desktop.ini
Revolut X/desktop.ini,desktop.ini,.ini,Revolut X,TRUE,TRUE,246,2026-07-01T08:02:55.997579+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\desktop.ini
Revolut X/MVP QAIC — Mémo d’intégration Revolut X.pdf,MVP QAIC — Mémo d’intégration Revolut X.pdf,.pdf,Revolut X,TRUE,TRUE,235562,2026-06-16T12:00:54.587000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\MVP QAIC — Mémo d’intégration Revolut X.pdf
Revolut X/v25_00_reference_contract_crypto_alpha_ia.js,v25_00_reference_contract_crypto_alpha_ia.js,.js,Revolut X,TRUE,TRUE,377239,2026-06-20T08:48:44.479000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_00_reference_contract_crypto_alpha_ia.js
Revolut X/v25_17_portfolio_alpha_bridge.js,v25_17_portfolio_alpha_bridge.js,.js,Revolut X,TRUE,TRUE,53332,2026-06-15T17:58:50.406000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_17_portfolio_alpha_bridge.js
Revolut X/v25_20_portfolio_exposure_engine.js,v25_20_portfolio_exposure_engine.js,.js,Revolut X,TRUE,TRUE,52497,2026-06-15T17:58:50.407000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_20_portfolio_exposure_engine.js
Revolut X/v25_21_portfolio_risk_decision_engine.js,v25_21_portfolio_risk_decision_engine.js,.js,Revolut X,TRUE,TRUE,60291,2026-06-15T17:58:50.410000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_21_portfolio_risk_decision_engine.js
Revolut X/v25_22_portfolio_decision_control_center.js,v25_22_portfolio_decision_control_center.js,.js,Revolut X,TRUE,TRUE,53736,2026-06-15T17:58:50.410000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_22_portfolio_decision_control_center.js
Revolut X/v25_23_portfolio_execution_queue.js,v25_23_portfolio_execution_queue.js,.js,Revolut X,TRUE,TRUE,43830,2026-06-15T17:58:50.410000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_23_portfolio_execution_queue.js
Revolut X/v25_24_portfolio_pre_trade_guard.js,v25_24_portfolio_pre_trade_guard.js,.js,Revolut X,TRUE,TRUE,36200,2026-06-15T17:58:50.410000+00:00,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_24_portfolio_pre_trade_guard.js
