priority_rank,category,migration_decision,source_area,path,suffix,suggested_python_target,safety_boundary,reason
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245/P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_CONTRACT.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,documentation,05_EXPORTS/P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245/P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_REPORT.md,.md,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228/P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_CONTRACT.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,documentation,05_EXPORTS/P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228/P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_REPORT.md,.md,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228/P104_WEBAPP_UI_SAMPLE_DATA_PACK.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_SAMPLE.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_CONTRACT.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,documentation,05_EXPORTS/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204/P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_REPORT.md,.md,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P106_WEBAPP_STATIC_PREVIEW_DATA_EXPORT_20260622_103845/STATIC_PREVIEW/data/prompt_payload.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
1,PROMPT_GEM_RUNTIME,MIGRATE_OR_KEEP_IN_PYTHON_PRIORITY_1,data_or_export,05_EXPORTS/P107_R1_CANONICAL_WEBAPP_BINDING_ADMIN_20260622_105702/CANONICAL_BINDING_PACK/data/prompt_payload.json,.json,mvp_qaic_py.gem_prompt_runtime,MVP_PUBLIC_HUMAN_REVIEW_ONLY,Prompt/GEM runtime is the first migration priority for usable portfolio tests.
