prompt_id,source_path,source_kind,sha12,dup_group,char_count,line_count,has_gem,has_portfolio,has_image,has_review_required,has_usd_reference,has_no_order,has_no_sizing,has_no_auto_apply,has_missing_data,has_blockers,has_schema_rules,has_json_contract,quality_score,risk_score,migration_decision,migration_reason,candidate_extract
PROMPT-a2f5c3e0e96c,05_EXPORTS/P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525/P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,ACTIVE_RUNTIME_OR_SOURCE,a2f5c3e0e96c,c475182ffba1,6284,274,True,True,True,True,True,True,True,False,True,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"# P132 GEM Multimodal Portfolio Prompt — Revolut X / USD | 1. One attached image/screenshot from Revolut X or a similar crypto portfolio interface. | The image is part of this main prompt. Do not ask for or create a separate preliminary step where you only read the image. Perform the portfolio extraction and review in this single response. | ## Hard rules | - Use `value_usd`, `price_usd`, `portfolio_total_value_usd`,"
PROMPT-f8bd1b197508,05_EXPORTS/P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825/P164_HISTORICAL_PROMPT_AUDIT_REPORT.md,ACTIVE_RUNTIME_OR_SOURCE,f8bd1b197508,9e25ae2aae6c,18566,133,True,True,True,True,True,True,True,False,True,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,- `P132_P133_PORTFOLIO_MULTIMODAL_REVIEW` is demoted to `CURRENT_RUNTIME_CONTRACT_REFERENCE`. | - hits: `demande globale|plusieurs points|mission globale|prompt global|prompt de référence|prompt historique|gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|hard rules|no broker|no order|no sizing|P132|P133|path_historical_bonus|path_prompt_bonus` | > ycache
PROMPT-70676b5ed3bd,05_EXPORTS/P182_PROMPT_HISTORY_LIBRARY_VERSION_STUDIO_20260624_095740/P182_PROMPT_HISTORY_LIBRARY.json,ACTIVE_RUNTIME_OR_SOURCE,70676b5ed3bd,dfdfe594bfd6,42564,915,True,True,True,True,True,True,True,True,False,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"""blockers"": [], | ""has_gem"": true, | ""has_portfolio"": true, | ""has_review_required"": true, | ""prompt_id"": ""multimodal_gem_image_prompt_usd_contract.py"", | ""source_path"": ""mvp_qaic_py\\multimodal_gem_image_prompt_usd_contract.py"", | ""has_gem"": true, | ""has_portfolio"": true, | ""has_review_required"": true, | ""prompt_id"": ""p177_gem_portfolio_prompt_workflow_usable_smoke.py"", | ""source_path"": ""mvp_qaic_py\\p177_gem_portfo"
PROMPT-b0b1f20fb59d,mvp_qaic_py/multimodal_gem_image_prompt_usd_contract.py,ACTIVE_RUNTIME_OR_SOURCE,b0b1f20fb59d,225b5b3ea01f,23989,652,True,True,True,True,True,True,True,True,True,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"""MVP_QAIC_P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_0_1_1_FRENCH_RESPONSE_JSON_STABLE_SAFE"" | REFERENCE_CURRENCY = ""USD"" | ""GEM_MULTIMODAL_IMAGE_INPUT_ALLOWED"", | ""USD_REFERENCE_CURRENCY"", | ""HUMAN_REVIEW_REQUIRED"", | ""NO_INVENTED_PORTFOLIO_DATA"", | ""NO_ORDER"", | ""NO_AUTO_APPLY_GEM_RESPONSE"", | ""P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md"", | ""P132_EXPECTED_GEM_OUTPUT_SCHEMA.json"", | class MultimodalGemImagePromptUsd"
PROMPT-31ef3ab9540b,mvp_qaic_py/p158_r2_authorize_and_apply_prompt_patch_manual_gate.py,ACTIVE_RUNTIME_OR_SOURCE,31ef3ab9540b,c178cfa11cf6,17554,440,True,True,True,True,True,True,True,True,False,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"EXPECTED_PROMPT_SOURCE_ID = ""P132_P133_PORTFOLIO_MULTIMODAL_REVIEW"" | - Set `image_used` explicitly in the output payload: `true` when the screenshot or image is used as evidence, `false` only when no image evidence is available. | - Set `reference_currency` explicitly: use `USD` for the Revolut X / USD runtime prompt unless the provided interface or copied text proves another currency. | ""NO_HUMAN_REVIEW_REQUIRED"", "
PROMPT-957225bf089c,mvp_qaic_py/p160_real_gem_response_smoke_with_patch_or_release_seal.py,ACTIVE_RUNTIME_OR_SOURCE,957225bf089c,a4f46d882821,15664,415,True,True,True,True,True,True,True,True,False,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"STEP_ID = ""P160_REAL_GEM_RESPONSE_SMOKE_WITH_PATCH_OR_RELEASE_SEAL"" | PROMPT_SOURCE_ID = ""P132_P133_PORTFOLIO_MULTIMODAL_REVIEW"" | PROMPT_MODULE_NAME = ""mvp_qaic_py.multimodal_gem_image_prompt_usd_contract"" | PROMPT_SOURCE_REL = Path(""mvp_qaic_py"") / ""multimodal_gem_image_prompt_usd_contract.py"" | P152_PREFIX = ""P152_REAL_GEM_RESPONSE_IMPORT_OR_STOP_"" | P160_PREFIX = ""P160_REAL_GEM_RESPONSE_SMOKE_WITH_PATCH_OR_RELEAS"
PROMPT-a079bb437a57,mvp_qaic_py/p164_historical_prompt_audit_reference_rebuild.py,ACTIVE_RUNTIME_OR_SOURCE,a079bb437a57,01e5b28cbed8,13741,429,True,True,True,True,True,True,True,False,True,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"PROMPT_SOURCE_ID_CURRENT = ""P132_P133_PORTFOLIO_MULTIMODAL_REVIEW"" | ""gem"": 14, | ""portfolio"": 14, | ""review_required"": 10, | ""hard rules"": 7, | ""mvp_qaic_py/multimodal_gem_image_prompt_usd_contract.py"", | if ""multimodal"" in r or ""gem_image_prompt"" in r or ""portfolio"" in lower: | ""hard rules"", | ""portfolio"", | ""gem"", | ### Règles dures | ""image_used"": true, | ""reference_currency"": ""USD"", | ""reference_currency_status"""
PROMPT-bc2abdffe67e,mvp_qaic_py/p182_prompt_history_library_version_studio.py,ACTIVE_RUNTIME_OR_SOURCE,bc2abdffe67e,1d1743482cc7,9515,285,True,True,True,True,True,True,True,True,False,True,True,True,100,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"""gem_call_executed"": False, | ""auto_apply_gem_response"": False, | signals = [""prompt"", ""gem"", ""portfolio"", ""image"", ""review"", ""human"", ""capture""] | if ""active_gem_portfolio_image_review"" in lower: | if ""mvp qaic — gem portfolio image review"" in lower: | root / ""mvp_qaic_py"" / ""multimodal_gem_image_prompt_usd_contract.py"", | root / ""mvp_qaic_py"" / ""p177_gem_portfolio_prompt_workflow_usable_smoke.py"", | ""has_gem"": ""gem"
PROMPT-9b2c3e1b3a23,05_EXPORTS/P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525/P132_MANIFEST.json,ACTIVE_RUNTIME_OR_SOURCE,9b2c3e1b3a23,4f69aef3b26f,3976,57,True,True,True,True,True,True,True,True,False,False,True,True,92,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\MVP_QAIC_PY\\05_EXPORTS\\P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525\\P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md"", | ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\MVP_QAIC_PY\\05_EXPORTS\\P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525\\P132_EXPECTED_GEM_OUTPUT_SCHEMA.json"", |"
PROMPT-69fba7d11e83,05_EXPORTS/P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827/P132_MANIFEST.json,ACTIVE_RUNTIME_OR_SOURCE,69fba7d11e83,892dea7b7ab6,4131,63,True,True,True,True,True,True,True,True,False,False,True,True,92,0,ACTIVE_KEEP,Active-like prompt with acceptable safety coverage.,"""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\MVP_QAIC_PY\\05_EXPORTS\\P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827\\P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md"", | ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\MVP_QAIC_PY\\05_EXPORTS\\P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827\\P132_EXPECTED_GEM_OUTPUT_SCHEMA.json"", | ""gem_multimodal_ima"
