priority,sheet_tab,category,purpose,key_fields,ui_requirements,data_source,status,color_cell,progress_percent,next_action,write_policy
1,QAIC_OPERATOR_COCKPIT,COCKPIT,Vue décisionnelle principale,"status, next_action, blocker_count, route, evidence","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Créer cockpit opérateur compact en haut,DRY_RUN_ONLY_NO_LIVE_WRITE
2,MIGRATION_CONTROL,COCKPIT,"Suivi fait / reste à faire pour onglets, scripts, fonctions","entity_type, name, done, todo, status, color_cell, progress_percent","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Priorité affichage en tableau coloré,DRY_RUN_ONLY_NO_LIVE_WRITE
3,INSTRUCTIONS_TRACKER,GOVERNANCE,Suivi des obligations par thème,"theme, obligation, status, evidence, correction_rule","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Obligatoire avant chaque batch sensible,DRY_RUN_ONLY_NO_LIVE_WRITE
4,DOCS_INDEX,DOCUMENTATION,Index des docs repo + dossier principal,"doc_id, scope, path, version, merge_action","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Fusionner docs finales/résiduelles,DRY_RUN_ONLY_NO_LIVE_WRITE
5,DOCS_FINAL_FUSED,DOCUMENTATION,Référence documentaire finale,"section, version, status, source, updated_at","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Miroir dans dossier principal,DRY_RUN_ONLY_NO_LIVE_WRITE
6,GEM_CAPTURE_INBOX,GEM,Réception capture portfolio,"capture_id, file_path, timestamp, status","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Entrée vraie capture opérateur,DRY_RUN_ONLY_NO_LIVE_WRITE
7,GEM_RESPONSE_INBOX,GEM,Réception réponse GEM,"response_id, source_file, parse_status, blockers","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Entrée réponse GEM réelle,DRY_RUN_ONLY_NO_LIVE_WRITE
8,GEM_SESSION_LOG,GEM,Sessions prompt / capture / réponse,"session_id, prompt_id, capture_id, response_id","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Audit roundtrip,DRY_RUN_ONLY_NO_LIVE_WRITE
9,GEM_ROUNDTRIP_STATUS,GEM,Statut roundtrip complet,"roundtrip_id, capture_ok, response_ok, review_ok","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,REVIEW,🟧,70,Détecter où ça bloque,DRY_RUN_ONLY_NO_LIVE_WRITE
10,GEM_REVIEW_GATE,REVIEW,Gate de revue humaine,"review_id, status, missing_data, blockers","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Jamais auto-apply,DRY_RUN_ONLY_NO_LIVE_WRITE
11,GEM_REAL_CASE_DECISION,REVIEW,Décision cas réel portfolio,"decision_id, human_decision, reason, approved","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,WAITING_INPUTS,🟧,45,Validation opérateur,DRY_RUN_ONLY_NO_LIVE_WRITE
12,GEM_DECISION_JOURNAL,JOURNAL,Journal décisions GEM,"decision_id, timestamp, action, evidence, no_order","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,REVIEW,🟧,70,Trace finale,DRY_RUN_ONLY_NO_LIVE_WRITE
13,PROMPT_MASTER,PROMPT,Prompt source actuel,"prompt_id, version, status, patch_marker","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Source à protéger,DRY_RUN_ONLY_NO_LIVE_WRITE
14,PROMPT_HISTORY_LIBRARY,PROMPT,Historique versions prompt,"prompt_id, source, version, status","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Comparer sans casser,DRY_RUN_ONLY_NO_LIVE_WRITE
15,PROMPT_MIGRATION_MATRIX,PROMPT,Migration prompts historiques,"source, candidate, action, status","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Fusionner/réviser,DRY_RUN_ONLY_NO_LIVE_WRITE
16,RUNTIME_MIGRATION_TRACKER,MIGRATION,Suivi migration runtime,"layer, module, route, status, percent","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Pilotage migration,DRY_RUN_ONLY_NO_LIVE_WRITE
17,GEM_TRACKING_BINDING_MATRIX,MIGRATION,Binding GEM ↔ Python ↔ Sheets,"layer, python_module, sheet_tab, route","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Vérifier couverture,DRY_RUN_ONLY_NO_LIVE_WRITE
18,GEM_TRACKING_OPERATOR_VIEW,COCKPIT,Vue opérateur GEM,"layer, status, action, evidence","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Décision rapide,DRY_RUN_ONLY_NO_LIVE_WRITE
19,GEM_EVIDENCE_BINDING,EVIDENCE,Liens preuves / exports,"evidence_id, source, file, status","freeze header, filters, compact columns, color status, action visible left",MVP_QAIC_PY_LOCAL_EXPORTS_THEN_SHEETS_DRY_RUN,READY_DESIGN,🟩,100,Audit preuve,DRY_RUN_ONLY_NO_LIVE_WRITE
