priority,entity_type,name,binding,route,status,color_cell,progress_percent,done,todo
1,SHEET_TAB,GEM_CAPTURE_INBOX,mvp_qaic_py/prompt_image_capture_human_review.py,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
2,SHEET_TAB,GEM_RESPONSE_INBOX,mvp_qaic_py/gem_manual_test_review_pack.py,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
3,SHEET_TAB,GEM_SESSION_LOG,mvp_qaic_py/p173_nicegui_private_local_runner.py,00_OPERATOR_EXPORTS/P181_SESSION_LOG,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
4,SHEET_TAB,GEM_ROUNDTRIP_STATUS,mvp_qaic_py/p185_real_operator_capture_response_ui_roundtrip.py,P193R_GEM_ROUNDTRIP_EVIDENCE.csv,PYTHON_READY_CONTRACT_REVIEW,🟩,85,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
5,SHEET_TAB,GEM_REVIEW_GATE,mvp_qaic_py/p156_prompt_patch_candidate_or_stop_after_human_review.py,P187_REAL_MANUAL_CASE_GATE.json,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
6,SHEET_TAB,GEM_REAL_CASE_DECISION,mvp_qaic_py/p188_real_case_ui_operator_decision_gate.py,P188_REAL_CASE_OPERATOR_DECISION_GATE.json,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
7,SHEET_TAB,GEM_DECISION_JOURNAL,mvp_qaic_py/gem_response_decision_journal_bridge.py,P193R_GEM_DECISION_JOURNAL_EVIDENCE.csv,PYTHON_BINDING_READY_REVIEW,🟩,85,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
8,SHEET_TAB,PROMPT_HISTORY_LIBRARY,mvp_qaic_py/p182_prompt_history_library_version_studio.py,P182 prompt library export,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
9,SHEET_TAB,PROMPT_MIGRATION_MATRIX,mvp_qaic_py/p138a_sheets_prompt_base_migration_candidate.py,P189H_PROMPT_MIGRATION_MATRIX.csv,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
10,SHEET_TAB,RUNTIME_MIGRATION_TRACKER,mvp_qaic_py/p190r_runtime_migration_tracker_live_readonly.py,P190R_RUNTIME_ARTIFACTS.csv,PYTHON_READY_SHEETS_DRY_RUN_READY,🟩,100,Mapping onglet cible + runtime layer,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
