priority,sheet_tab,runtime_layer,source_export,python_binding,apps_script_binding,dry_run_status,migration_status,migration_percent,next_action
1,GEM_CAPTURE_INBOX,GEM_CAPTURE_INBOX,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,mvp_qaic_py/prompt_image_capture_human_review.py,,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
2,GEM_RESPONSE_INBOX,GEM_RESPONSE_INBOX,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,mvp_qaic_py/gem_manual_test_review_pack.py,,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
3,GEM_SESSION_LOG,GEM_SESSION_LOG,00_OPERATOR_EXPORTS/P181_SESSION_LOG,mvp_qaic_py/p173_nicegui_private_local_runner.py,,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
4,GEM_ROUNDTRIP_STATUS,GEM_ROUNDTRIP,P193R_GEM_ROUNDTRIP_EVIDENCE.csv,mvp_qaic_py/p185_real_operator_capture_response_ui_roundtrip.py,,DRY_RUN_READY_WITH_REVIEW,PYTHON_READY_CONTRACT_REVIEW,85,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
5,GEM_REVIEW_GATE,GEM_REVIEW_GATE,P187_REAL_MANUAL_CASE_GATE.json,mvp_qaic_py/p156_prompt_patch_candidate_or_stop_after_human_review.py,05_EXPORTS/P106_WEBAPP_STATIC_PREVIEW_DATA_EXPORT_20260622_103845/STATIC_PREVIEW/index.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
6,GEM_REAL_CASE_DECISION,GEM_REAL_CASE_DECISION,P188_REAL_CASE_OPERATOR_DECISION_GATE.json,mvp_qaic_py/p188_real_case_ui_operator_decision_gate.py,,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
7,GEM_DECISION_JOURNAL,GEM_DECISION_JOURNAL,P193R_GEM_DECISION_JOURNAL_EVIDENCE.csv,mvp_qaic_py/gem_response_decision_journal_bridge.py,,DRY_RUN_DATA_FOUND_BUT_CONTRACT_REVIEW,PYTHON_BINDING_READY_REVIEW,85,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
8,PROMPT_HISTORY_LIBRARY,PROMPT_HISTORY_LIBRARY,P182 prompt library export,mvp_qaic_py/p182_prompt_history_library_version_studio.py,05_EXPORTS/P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
9,PROMPT_MIGRATION_MATRIX,PROMPT_MIGRATION_MATRIX,P189H_PROMPT_MIGRATION_MATRIX.csv,mvp_qaic_py/p138a_sheets_prompt_base_migration_candidate.py,05_EXPORTS/P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
10,RUNTIME_MIGRATION_TRACKER,RUNTIME_MIGRATION_TRACKER,P190R_RUNTIME_ARTIFACTS.csv,mvp_qaic_py/p190r_runtime_migration_tracker_live_readonly.py,,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
11,GEM_TRACKING_BINDING_MATRIX,GEM_TRACKING_BINDING_MATRIX,P191R_GEM_TRACKING_BINDING_MATRIX.csv,mvp_qaic_py/p191r_gem_tracking_tabs_runtime_binding_matrix.py,05_EXPORTS/P107_R1_CANONICAL_WEBAPP_BINDING_ADMIN_20260622_105702/CANONICAL_BINDING_PACK/admin/ADMIN_MONITOR.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
12,GEM_TRACKING_OPERATOR_VIEW,GEM_TRACKING_OPERATOR_VIEW,P192R_GEM_TRACKING_OPERATOR_VIEW.csv,mvp_qaic_py/p192r_gem_tracking_tabs_csv_export_operator_view_polish.py,05_EXPORTS/P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
13,GEM_EVIDENCE_BINDING,GEM_EVIDENCE_BINDING,P193R_GEM_EVIDENCE_BINDING.csv,mvp_qaic_py/p192r_gem_tracking_tabs_csv_export_operator_view_polish.py,05_EXPORTS/P107_R1_CANONICAL_WEBAPP_BINDING_ADMIN_20260622_105702/CANONICAL_BINDING_PACK/admin/ADMIN_MONITOR.html,DRY_RUN_READY,PYTHON_READY_SHEETS_DRY_RUN_READY,100,KEEP_PYTHON_DRY_RUN_NO_LIVE_WRITE
